Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
10-11-2020  10,28.97357,28.07222,-0.90135,109.74582,117.4347,7.68888,4.75991,2.382625,-2.377285,309.3616,59.48,-249.8816,321.1
10-11-2020  11,28.23911,27.79458,-0.44453,111.24886,112.8861,1.63724,3.26047,2.412139,-0.848331,135.38718,34.54,-100.84718,161.3
10-11-2020  12,27.28677,27.20458,-0.08219,128.99323,120.7167,-8.27653,4.39428,1.490222,-2.904058,0.77078,16.45,15.67922,63
10-11-2020  13,26.51212,25.85847,-0.65365,129.07425,125.6195,-3.45475,1.91767,1.038181,-0.879489,0,6.112,6.112,5.678
10-11-2020  14,25.73273,24.08889,-1.64384,123.98207,114.3708,-9.61127,1.5458,1.385028,-0.160772,0,4.845,4.845,-0.031
10-11-2020  15,25.00638,23.16166,-1.84472,114.12162,117.9792,3.85758,1.67956,1.11882,-0.56074,0,4.626,4.626,0.097
10-11-2020  16,24.4451,21.60514,-2.83996,115.48772,103.5125,-11.97522,1.57543,0.8886805,-0.6867495,0,4.346,4.346,-0.382
10-11-2020  17,23.89175,20.58736,-3.30439,115.35542,96.28472,-19.0707,1.64576,0.9599722,-0.6857878,0,3.965,3.965,-0.126
10-11-2020  18,23.57184,20.00625,-3.56559,115.06183,104.0139,-11.04793,1.76263,1.035861,-0.726769,0,3.878,3.878,-0.207
10-11-2020  19,23.17383,19.88958,-3.28425,111.04377,119.5542,8.51043,1.57692,0.7632778,-0.8136422,0,4.189,4.189,0.473
10-11-2020  20,22.67227,19.07111,-3.60116,76.46485,92.325,15.86015,1.0607,0.8881666,-0.1725334,0,3.968,3.968,-0.256
10-11-2020  21,22.09329,18.14278,-3.95051,68.71934,100.4778,31.75846,1.25491,0.608625,-0.646285,0,3.336,3.336,0.323
10-11-2020  22,21.72037,17.8925,-3.82787,73.74998,73.00833,-0.74165,1.07046,0.6846111,-0.3858489,0,3.858,3.858,-0.391
10-11-2020  23,21.40637,17.83944,-3.56693,74.89591,55.60417,-19.29174,0.80326,0.9481944,0.1449344,0,3.92,3.92,-0.358
11-11-2020  00,21.22467,17.49917,-3.7255,99.14827,84.07361,-15.07466,0.77022,0.9642778,0.1940578,0,4.023,4.023,-0.552
11-11-2020  01,20.82178,17.02903,-3.79275,100.38898,77.70278,-22.6862,0.67196,0.6030555,-0.0689045,0,3.98,3.98,-0.463
11-11-2020  02,20.94901,16.61014,-4.33887,79.87532,97.23889,17.36357,0.42676,0.5270833,0.1003233,57.49123,3.763,-53.72823,2.155
11-11-2020  03,22.33621,17.30889,-5.02732,90.30593,116.3,25.99407,0.69622,0.673611,-0.022609,211.38693,12.81,-198.57693,57.43
